date,confirmedcasesindian,confirmedcasesforeign,discharged,deaths,totalConfirmed
2020-04-01,1,0,0,0,1
2020-04-02,5,0,0,0,5
2020-04-03,16,0,0,0,16
2020-04-04,24,0,0,0,24
2020-04-05,26,0,0,0,26
2020-04-06,26,0,0,0,26
2020-04-07,26,0,0,0,26
2020-04-08,27,0,0,0,27
2020-04-09,28,0,0,0,28
2020-04-10,29,0,0,0,29
2020-04-11,29,0,0,1,29
2020-04-12,29,0,0,1,29
2020-04-13,31,0,0,1,31
2020-04-14,31,0,0,1,31
2020-04-15,33,0,0,1,33
2020-04-16,33,0,5,1,33
2020-04-17,35,0,5,1,35
2020-04-18,35,0,9,1,35
2020-04-19,35,0,12,1,35
2020-04-20,35,0,17,1,35
2020-04-21,35,0,19,1,35
2020-04-22,35,0,19,1,35
2020-04-23,35,0,19,1,35
2020-04-24,36,0,19,1,36
2020-04-25,36,0,19,1,36
2020-04-26,36,0,19,1,36
2020-04-27,36,0,27,1,36
2020-04-28,38,0,27,1,38
2020-04-29,38,0,27,1,38
2020-04-30,42,0,29,1,42
2020-05-01,42,0,29,1,42
2020-05-02,43,0,32,1,43
2020-05-03,43,0,32,1,43
2020-05-04,43,0,32,1,43
2020-05-05,43,0,32,1,43
2020-05-06,43,0,32,1,43
2020-05-07,45,0,32,1,45
2020-05-08,54,0,34,1,54
2020-05-09,59,0,34,1,59
2020-05-10,63,0,34,2,63
2020-05-11,63,0,34,2,63
2020-05-12,65,0,34,2,65
2020-05-13,65,0,39,2,65
2020-05-14,80,0,39,2,80
2020-05-15,87,0,39,2,87
2020-05-16,90,0,41,2,90
2020-05-17,92,0,41,2,92
2020-05-18,101,0,41,2,101
2020-05-19,107,0,41,2,107
2020-05-20,142,0,41,4,142
2020-05-21,170,0,48,4,170
2020-05-22,203,0,54,4,203
2020-05-23,259,0,54,4,259
2020-05-24,329,0,55,4,329
2020-05-25,378,0,55,4,378
2020-05-26,526,0,62,4,526
2020-05-27,616,0,62,4,616
2020-05-28,781,0,87,4,781
2020-05-29,856,0,104,4,856
2020-05-30,1024,0,125,4,1024
2020-05-31,1185,0,163,4,1185
2020-06-01,1272,0,185,4,1272
2020-06-02,1390,0,277,4,1390
2020-06-03,1513,0,324,4,1513
2020-06-04,1672,0,413,4,1672
