date,confirmedcasesindian,confirmedcasesforeign,discharged,deaths,totalConfirmed
2020-06-11,28,0,2,0,28
2020-06-12,30,0,2,0,30
2020-06-13,30,0,2,0,30
2020-06-14,35,0,2,0,35
2020-06-15,36,0,2,0,36
2020-06-16,36,0,5,0,36
2020-06-17,45,0,9,0,45
2020-06-18,57,0,12,0,57
2020-06-19,58,0,13,0,58
2020-06-20,62,0,14,0,62
2020-06-21,68,0,26,0,68
2020-06-22,88,0,26,0,88
2020-06-23,91,0,27,0,91
2020-06-24,120,0,29,0,120
2020-06-25,120,0,30,0,120
2020-06-26,155,0,32,0,155
2020-06-27,163,0,41,0,163
2020-06-28,177,0,55,0,177
2020-06-29,178,0,60,0,178
2020-06-30,203,0,77,0,203
2020-07-01,213,0,82,0,213
2020-07-02,215,0,86,0,215
2020-07-03,230,0,89,0,230
2020-07-04,257,0,96,0,257
2020-07-05,271,0,96,0,271
2020-07-06,271,0,106,0,271
2020-07-07,297,0,114,0,297
2020-07-08,405,0,183,0,405
2020-07-09,408,0,184,0,408
2020-07-10,411,0,189,0,411
2020-07-11,459,0,211,0,459
2020-07-12,471,0,226,0,471
2020-07-13,479,0,245,0,479
2020-07-14,495,0,268,1,495
2020-07-15,520,0,310,1,520
2020-07-16,539,0,357,2,539
2020-07-17,552,0,371,2,552
2020-07-18,585,0,401,2,585
2020-07-19,602,0,414,2,602
2020-07-20,605,0,414,2,605
2020-07-21,684,0,448,2,684
2020-07-22,705,0,463,2,705
2020-07-23,733,0,474,2,733
2020-07-24,770,0,489,2,770
2020-07-25,815,0,512,2,815
2020-07-26,860,0,530,2,860
2020-07-27,914,0,550,2,914
2020-07-28,946,0,564,2,946
2020-07-29,982,0,596,2,982
2020-07-30,1026,0,648,2,1026
2020-07-31,1064,0,668,2,1064
2020-08-01,1100,0,686,2,1100
2020-08-02,1145,0,725,2,1145
2020-08-03,1184,0,766,2,1184
2020-08-04,1274,0,860,2,1274
2020-08-05,1325,0,919,2,1325
2020-08-06,1366,0,960,2,1366
2020-08-07,1391,0,973,2,1391
2020-08-08,1437,0,1014,2,1437
2020-08-09,1456,0,1037,2,1456
2020-08-10,1564,0,1121,2,1564
2020-08-11,1613,0,1167,2,1613
2020-08-12,1653,0,1209,2,1653
2020-08-13,1696,0,1248,2,1696
2020-08-14,1752,0,1292,2,1752
2020-08-15,1797,0,1331,2,1797
2020-08-16,1843,0,1384,2,1843
2020-08-17,1878,0,1431,2,1878
2020-08-18,1908,0,1459,2,1908
2020-08-19,1951,0,1524,2,1951
2020-08-20,1995,0,1604,2,1995
2020-08-21,2030,0,1627,2,2030
2020-08-22,2082,0,1652,2,2082
2020-08-23,2120,0,1702,2,2120
2020-08-24,2161,0,1753,2,2161
2020-08-25,2181,0,1786,2,2181
2020-08-26,2203,0,1820,2,2203
2020-08-27,2228,0,1862,2,2228
2020-08-28,2266,0,1916,2,2266
2020-08-29,2290,0,1960,2,2290
2020-08-30,2306,0,1998,2,2306
2020-08-31,2340,0,2042,2,2340
2020-09-01,2367,0,2081,2,2367
