date,confirmedcasesindian,confirmedcasesforeign,discharged,deaths,totalConfirmed
2020-03-20,5,0,0,0,5
2020-03-21,7,0,0,0,7
2020-03-22,18,0,0,1,18
2020-03-23,29,0,0,1,29
2020-03-24,32,1,0,1,33
2020-03-25,37,1,0,1,38
2020-03-26,42,1,0,3,43
2020-03-27,42,1,0,3,43
2020-03-28,44,1,0,3,45
2020-03-29,57,1,1,5,58
2020-03-30,68,1,1,6,69
2020-03-31,72,1,3,6,73
2020-04-01,81,1,5,6,82
2020-04-02,86,1,8,7,87
2020-04-03,94,1,10,8,95
2020-04-04,104,1,14,10,105
2020-04-05,121,1,18,11,122
2020-04-06,143,1,22,12,144
2020-04-07,164,1,25,13,165
2020-04-08,164,1,25,13,165
2020-04-09,178,1,25,16,179
2020-04-10,240,1,26,17,241
2020-04-11,307,1,31,19,308
2020-04-12,431,1,44,22,432
2020-04-13,538,1,47,26,539
2020-04-14,616,1,55,26,617
2020-04-15,694,1,59,30,695
2020-04-16,870,1,64,36,871
2020-04-17,1020,1,74,38,1021
2020-04-18,1271,1,88,48,1272
2020-04-19,1603,1,94,58,1604
2020-04-20,1850,1,106,67,1851
2020-04-21,2065,1,131,77,2066
2020-04-22,2271,1,144,95,2272
2020-04-23,2406,1,179,103,2407
2020-04-24,2623,1,258,112,2624
2020-04-25,2814,1,265,127,2815
2020-04-26,3070,1,282,133,3071
2020-04-27,3300,1,313,151,3301
2020-04-28,3547,1,394,162,3548
2020-04-29,3773,1,434,181,3774
2020-04-30,4081,1,527,197,4082
2020-05-01,4394,1,613,214,4395
2020-05-02,4720,1,735,236,4721
2020-05-03,5054,1,896,262,5055
2020-05-04,5427,1,1042,290,5428
2020-05-05,5803,1,1195,319,5804
2020-05-06,6244,1,1381,368,6245
2020-05-07,6624,1,1500,396,6625
2020-05-08,7011,1,1709,425,7012
2020-05-09,7401,1,1872,449,7402
2020-05-10,7795,1,2091,472,7796
2020-05-11,8193,1,2545,493,8194
2020-05-12,8540,1,2780,513,8541
2020-05-13,8902,1,3246,537,8903
2020-05-14,9266,1,3562,566,9267
2020-05-15,9590,1,3753,586,9591
2020-05-16,9930,1,4035,606,9931
2020-05-17,10987,1,4308,625,10988
2020-05-18,11378,1,4499,659,11379
2020-05-19,11744,1,4804,694,11745
2020-05-20,12139,1,5043,719,12140
2020-05-21,12536,1,5219,749,12537
2020-05-22,12904,1,5488,773,12905
2020-05-23,13267,1,5880,802,13268
2020-05-24,13663,1,6169,829,13664
2020-05-25,14055,1,6412,858,14056
2020-05-26,14459,1,6636,888,14460
2020-05-27,14820,1,7139,915,14821
2020-05-28,15194,1,7549,938,15195
2020-05-29,15561,1,8003,960,15562
2020-05-30,15933,1,8611,980,15934
2020-05-31,16342,1,9230,1007,16343
2020-06-01,16778,1,9919,1038,16779
2020-06-02,17199,1,10780,1063,17200
2020-06-03,17616,1,11894,1092,17617
2020-06-04,18099,1,12212,1122,18100
2020-06-05,18583,1,12667,1155,18584
2020-06-06,19093,1,13003,1190,19094
2020-06-07,19591,1,13316,1219,19592
2020-06-08,20069,1,13635,1249,20070
2020-06-09,20544,1,13956,1280,20545
2020-06-10,21013,1,14365,1313,21014
2020-06-11,21520,1,14735,1347,21521
2020-06-12,22031,1,15101,1385,22032
2020-06-13,22526,1,15493,1415,22527
2020-06-14,23037,1,15883,1448,23038
2020-06-15,23543,1,16325,1477,23544
2020-06-16,24054,1,16664,1505,24055
2020-06-17,24576,1,17082,1533,24577
2020-06-18,25092,1,17430,1560,25093
2020-06-19,25600,1,17819,1591,25601
2020-06-20,26140,1,18159,1618,26141
2020-06-21,26679,1,18694,1638,26680
2020-06-22,27259,1,19349,1663,27260
2020-06-23,27824,1,19909,1684,27825
2020-06-24,28370,1,20513,1710,28371
2020-06-25,28942,1,21088,1735,28943
2020-06-26,29519,1,21498,1753,29520
2020-06-27,30094,1,22030,1771,30095
2020-06-28,30708,1,22409,1789,30709
2020-06-29,31319,1,22800,1808,31320
2020-06-30,31937,1,23240,1827,31938
2020-07-01,32556,1,23662,1846,32557
2020-07-02,33231,1,24030,1867,33232
2020-07-03,33912,1,24593,1886,33913
2020-07-04,34599,1,24933,1904,34600
2020-07-05,35311,1,25406,1925,35312
2020-07-06,36036,1,25892,1943,36037
2020-07-07,36771,1,26315,1960,36772
2020-07-08,37549,1,26720,1977,37550
2020-07-09,38332,1,27289,1993,38333
2020-07-10,39193,1,27718,2008,39194
2020-07-11,40068,1,28147,2022,40069
2020-07-12,40940,1,28649,2032,40941
2020-07-13,41819,1,29162,2045,41820
2020-07-14,42721,1,29770,2055,42722
2020-07-15,43636,1,30503,2069,43637
2020-07-16,44551,1,31286,2079,44552
2020-07-17,45480,1,32103,2089,45481
2020-07-18,46429,1,32973,2106,46430
2020-07-19,47389,1,34035,2122,47390
2020-07-20,48354,1,34901,2142,48355
2020-07-21,49352,1,35678,2162,49353
2020-07-22,50378,1,36423,2196,50379
2020-07-23,51398,1,37260,2224,51399
2020-07-24,52476,1,37978,2252,52477
2020-07-25,53544,1,38849,2278,53545
2020-07-26,54625,1,39631,2300,54626
2020-07-27,55821,1,40365,2326,55822
2020-07-28,56873,1,41380,2348,56874
2020-07-29,57981,1,42412,2372,57982
2020-07-30,59125,1,43195,2396,59126
2020-07-31,60284,1,44074,2418,60285
2020-08-01,61437,1,44907,2441,61438
2020-08-02,62462,1,45699,2464,62463
2020-08-03,63561,1,46504,2486,63562
2020-08-04,64584,1,47478,2508,64585
2020-08-05,65598,1,48376,2533,65599
2020-08-06,66668,1,49433,2556,66669
2020-08-07,67698,1,50350,2583,67699
2020-08-08,68767,1,51720,2605,68768
2020-08-09,69868,1,52855,2628,69869
2020-08-10,70964,1,54166,2652,70965
2020-08-11,72030,1,55304,2672,72031
2020-08-12,73162,1,56444,2695,73163
2020-08-13,74317,1,57421,2713,74318
2020-08-14,75407,1,58467,2731,75408
2020-08-15,76479,1,59538,2746,76480
2020-08-16,77558,1,60553,2765,77559
2020-08-17,78679,1,61512,2785,78680
