date,confirmedcasesindian,confirmedcasesforeign,discharged,deaths,totalConfirmed
2020-03-10,0,14,0,0,14
2020-03-11,0,14,0,0,14
2020-03-12,0,14,0,0,14
2020-03-13,0,14,0,0,14
2020-03-14,0,14,0,0,14
2020-03-15,0,14,0,0,14
2020-03-16,0,14,0,0,14
2020-03-17,1,14,0,0,15
2020-03-18,3,14,0,0,17
2020-03-19,3,14,0,0,17
2020-03-20,3,14,0,0,17
2020-03-21,3,14,0,0,17
2020-03-22,7,14,0,0,21
2020-03-23,12,14,11,0,26
2020-03-24,14,14,11,0,28
2020-03-25,14,14,11,0,28
2020-03-26,16,14,11,0,30
2020-03-27,16,14,11,0,30
2020-03-28,19,14,12,0,33
2020-03-29,19,14,17,0,33
2020-03-30,22,14,18,0,36
2020-03-31,26,14,21,0,40
2020-04-01,29,14,21,0,43
2020-04-02,29,14,21,0,43
2020-04-03,35,14,24,0,49
2020-04-04,35,14,24,0,49
2020-04-05,45,14,25,1,59
2020-04-06,70,14,25,1,84
2020-04-07,76,14,25,1,90
2020-04-08,133,14,28,3,147
2020-04-09,155,14,29,3,169
2020-04-10,155,14,29,3,169
2020-04-11,163,14,29,3,177
2020-04-12,171,14,29,3,185
2020-04-13,171,14,29,3,185
2020-04-14,185,14,34,3,199
2020-04-15,185,14,34,3,199
2020-04-16,191,14,43,3,205
2020-04-17,191,14,43,3,205
2020-04-18,211,14,43,3,225
2020-04-19,219,14,87,3,233
2020-04-20,219,14,87,3,233
2020-04-21,240,14,127,3,254
2020-04-22,240,14,127,3,254
2020-04-23,248,14,140,3,262
2020-04-24,258,14,156,3,272
2020-04-25,258,14,156,3,272
2020-04-26,275,14,176,3,289
2020-04-27,275,14,176,3,289
2020-04-28,282,14,183,3,296
2020-04-29,296,14,209,3,310
2020-04-30,296,14,209,3,310
2020-05-01,299,14,209,3,313
2020-05-02,346,14,227,4,360
2020-05-03,380,14,227,4,394
2020-05-04,428,14,245,5,442
2020-05-05,503,14,254,6,517
2020-05-06,534,14,256,6,548
2020-05-07,580,14,260,7,594
2020-05-08,611,14,260,7,625
2020-05-09,633,14,279,8,647
2020-05-10,661,14,290,9,675
2020-05-11,689,14,300,10,703
2020-05-12,716,14,337,11,730
2020-05-13,766,14,342,11,780
2020-05-14,779,14,418,11,793
2020-05-15,804,14,439,11,818
2020-05-16,804,14,439,11,818
