date,confirmedcasesindian,confirmedcasesforeign,discharged,deaths,totalConfirmed
2020-03-10,1,0,0,0,1
2020-03-11,4,0,0,0,4
2020-03-12,4,0,0,0,4
2020-03-13,6,0,0,1,6
2020-03-14,6,0,0,1,6
2020-03-15,6,0,0,1,6
2020-03-16,6,0,0,1,6
2020-03-17,11,0,0,1,11
2020-03-18,11,0,0,1,11
2020-03-19,14,0,0,1,14
2020-03-20,15,0,1,1,15
2020-03-21,15,0,1,1,15
2020-03-22,26,0,2,1,26
2020-03-23,33,0,2,1,33
2020-03-24,37,0,3,1,37
2020-03-25,41,0,3,1,41
2020-03-26,55,0,3,2,55
2020-03-27,55,0,3,2,55
2020-03-28,55,0,3,2,55
2020-03-29,76,0,5,3,76
2020-03-30,83,0,5,3,83
2020-03-31,83,0,5,3,83
2020-04-01,101,0,8,3,101
2020-04-02,110,0,9,3,110
2020-04-03,124,0,10,3,124
2020-04-04,128,0,12,3,128
2020-04-05,144,0,12,4,144
2020-04-06,151,0,12,4,151
2020-04-07,175,0,25,4,175
2020-04-08,175,0,25,4,175
2020-04-09,181,0,28,5,181
2020-04-10,197,0,30,6,197
2020-04-11,214,0,37,6,214
2020-04-12,226,0,37,6,226
2020-04-13,247,0,59,6,247
2020-04-14,258,0,65,9,258
2020-04-15,277,0,75,11,277
2020-04-16,315,0,82,13,315
2020-04-17,353,0,82,13,353
2020-04-18,371,0,92,13,371
2020-04-19,384,0,104,14,384
2020-04-20,395,0,111,16,395
2020-04-21,415,0,114,17,415
2020-04-22,425,0,129,17,425
2020-04-23,443,0,141,17,443
2020-04-24,463,0,150,18,463
2020-04-25,489,0,153,18,489
2020-04-26,501,0,177,18,501
2020-04-27,511,0,188,20,511
2020-04-28,520,0,198,20,520
2020-04-29,532,0,215,20,532
2020-04-30,557,0,223,21,557
2020-05-01,576,0,235,22,576
2020-05-02,598,0,255,25,598
2020-05-03,606,0,282,25,606
2020-05-04,642,0,304,26,642
2020-05-05,659,0,324,28,659
2020-05-06,671,0,331,29,671
2020-05-07,693,0,354,29,693
2020-05-08,705,0,366,30,705
2020-05-09,753,0,376,30,753
2020-05-10,794,0,386,30,794
2020-05-11,848,0,424,31,848
2020-05-12,862,0,426,31,862
2020-05-13,925,0,433,31,925
2020-05-14,959,0,451,33,959
2020-05-15,987,0,460,35,987
2020-05-16,1056,0,480,36,1056
2020-05-17,1092,0,496,36,1092
2020-05-18,1147,0,509,37,1147
2020-05-19,1246,0,530,37,1246
2020-05-20,1397,0,544,40,1397
2020-05-21,1462,0,556,41,1462
2020-05-22,1605,0,571,41,1605
2020-05-23,1743,0,597,41,1743
2020-05-24,1959,0,608,42,1959
2020-05-25,2089,0,654,42,2089
2020-05-26,2182,0,705,44,2182
2020-05-27,2283,0,748,44,2283
2020-05-28,2418,0,781,47,2418
2020-05-29,2533,0,834,47,2533
2020-05-30,2781,0,894,48,2781
2020-05-31,2922,0,997,48,2922
2020-06-01,3221,0,1218,51,3221
2020-06-02,3408,0,1328,52,3408
2020-06-03,3796,0,1403,52,3796
2020-06-04,4063,0,1514,53,4063
2020-06-05,4320,0,1610,57,4320
2020-06-06,4835,0,1688,57,4835
2020-06-07,5213,0,1968,59,5213
2020-06-08,5452,0,2132,61,5452
2020-06-09,5760,0,2519,64,5760
2020-06-10,5921,0,2604,66,5921
2020-06-11,6041,0,2862,69,6041
2020-06-12,6245,0,2977,72,6245
2020-06-13,6516,0,3440,79,6516
2020-06-14,6824,0,3648,81,6824
2020-06-15,7000,0,3955,86,7000
2020-06-16,7213,0,4135,89,7213
2020-06-17,7530,0,4456,94,7530
2020-06-18,7734,0,4804,102,7734
2020-06-19,7944,0,4983,114,7944
2020-06-20,8281,0,5210,124,8281
2020-06-21,8697,0,5391,132,8697
2020-06-22,9150,0,5618,137,9150
2020-06-23,9399,0,5730,142,9399
2020-06-24,9721,0,6004,150,9721
2020-06-25,10118,0,6151,164,10118
2020-06-26,10560,0,6670,170,10560
2020-06-27,11005,0,6916,180,11005
2020-06-28,11923,0,7287,191,11923
2020-06-29,13190,0,7507,207,13190
2020-06-30,14295,0,7683,226,14295
2020-07-01,15242,0,7918,246,15242
2020-07-02,16514,0,8063,253,16514
2020-07-03,18016,0,8334,272,18016
2020-07-04,19710,0,8805,293,19710
2020-07-05,21549,0,9244,335,21549
2020-07-06,23474,0,9847,372,23474
2020-07-07,25317,0,10527,401,25317
2020-07-08,26815,0,11098,416,26815
2020-07-09,28877,0,11876,470,28877
2020-07-10,31105,0,12833,486,31105
2020-07-11,33418,0,13836,543,33418
2020-07-12,36216,0,14716,613,36216
2020-07-13,38843,0,15409,684,38843
2020-07-14,41581,0,16248,757,41581
2020-07-15,44077,0,17390,842,44077
2020-07-16,47253,0,18466,928,47253
2020-07-17,51422,0,19729,1032,51422
2020-07-18,55115,0,20757,1147,55115
2020-07-19,59652,0,21775,1240,59652
2020-07-20,63772,0,23065,1331,63772
2020-07-21,67420,0,23795,1403,67420
2020-07-22,71069,0,25459,1464,71069
2020-07-23,75833,0,27239,1519,75833
2020-07-24,80863,0,29310,1616,80863
2020-07-25,85870,0,31347,1724,85870
2020-07-26,90942,0,33750,1796,90942
2020-07-27,96141,0,35838,1878,96141
2020-07-28,101465,0,37685,1953,101465
2020-07-29,107001,0,40504,2055,107001
2020-07-30,112504,0,42901,2147,112504
2020-07-31,118632,0,46694,2230,118632
2020-08-01,124115,0,49788,2314,124115
2020-08-02,129287,0,53648,2412,129287
2020-08-03,134819,0,57725,2496,134819
2020-08-04,139571,0,62500,2594,139571
2020-08-05,145830,0,69272,2704,145830
2020-08-06,151449,0,74679,2804,151449
2020-08-07,158254,0,80281,2897,158254
2020-08-08,164924,0,84232,2998,164924
2020-08-09,172102,0,89238,3091,172102
2020-08-10,178087,0,93908,3198,178087
2020-08-11,182354,0,99126,3312,182354
2020-08-12,188611,0,105599,3398,188611
2020-08-13,196494,0,112633,3510,196494
2020-08-14,203200,0,121242,3613,203200
2020-08-15,211108,0,128182,3717,211108
2020-08-16,219926,0,134811,3831,219926
2020-08-17,226966,0,141491,3947,226966
2020-08-18,233283,0,148562,4062,233283
2020-08-19,240948,0,156949,4201,240948
2020-08-20,249590,0,164150,4327,249590
2020-08-21,256975,0,170381,4429,256975
2020-08-22,264546,0,176942,4522,264546
2020-08-23,271876,0,184568,4615,271876
2020-08-24,277814,0,189564,4683,277814
2020-08-25,283665,0,197625,4810,283665
2020-08-26,291826,0,204439,4958,291826
2020-08-27,300406,0,211688,5091,300406
2020-08-28,309792,0,219554,5232,309792
2020-08-29,318752,0,227018,5368,318752
2020-08-30,327076,0,235128,5483,327076
