date,confirmedcasesindian,confirmedcasesforeign,discharged,deaths,totalConfirmed
2020-03-10,9,0,0,0,9
2020-03-11,17,0,0,0,17
2020-03-12,17,0,0,0,17
2020-03-13,19,0,3,0,19
2020-03-14,19,0,3,0,19
2020-03-15,22,0,3,0,22
2020-03-16,23,0,3,0,23
2020-03-17,24,2,3,0,26
2020-03-18,25,2,3,0,27
2020-03-19,25,2,3,0,27
2020-03-20,26,2,3,0,28
2020-03-21,33,7,3,0,40
2020-03-22,45,7,3,0,52
2020-03-23,60,7,3,0,67
2020-03-24,87,8,4,0,95
2020-03-25,101,8,4,0,109
2020-03-26,110,8,6,0,118
2020-03-27,129,8,11,0,137
2020-03-28,168,8,11,0,176
2020-03-29,174,8,15,1,182
2020-03-30,194,8,19,1,202
2020-03-31,226,8,19,1,234
2020-04-01,233,8,23,2,241
2020-04-02,257,8,25,2,265
2020-04-03,278,8,27,2,286
2020-04-04,287,8,41,2,295
2020-04-05,298,8,49,2,306
2020-04-06,306,8,55,2,314
2020-04-07,319,8,58,2,327
2020-04-08,328,8,70,2,336
2020-04-09,337,8,83,2,345
2020-04-10,349,8,96,2,357
2020-04-11,356,8,123,2,364
2020-04-12,366,8,142,2,374
2020-04-13,368,8,179,3,376
2020-04-14,371,8,198,3,379
2020-04-15,379,8,211,3,387
2020-04-16,380,8,218,3,388
2020-04-17,387,8,245,3,395
2020-04-18,388,8,255,3,396
2020-04-19,392,8,257,3,400
2020-04-20,394,8,270,3,402
2020-04-21,400,8,291,3,408
2020-04-22,419,8,323,3,427
2020-04-23,430,8,324,3,438
2020-04-24,440,8,324,3,448
2020-04-25,443,8,331,4,451
2020-04-26,450,8,338,4,458
2020-04-27,461,8,342,4,469
2020-04-28,474,8,355,4,482
2020-04-29,478,8,359,4,486
2020-04-30,488,8,369,4,496
2020-05-01,489,8,383,4,497
2020-05-02,490,8,392,4,498
2020-05-03,492,8,400,4,500
2020-05-04,492,8,401,4,500
2020-05-05,492,8,462,4,500
2020-05-06,494,8,462,4,502
2020-05-07,495,8,469,4,503
2020-05-08,495,8,474,4,503
2020-05-09,495,8,484,4,503
2020-05-10,497,8,485,4,505
2020-05-11,504,8,489,4,512
2020-05-12,511,8,489,4,519
2020-05-13,516,8,489,4,524
2020-05-14,526,8,490,4,534
2020-05-15,552,8,491,4,560
2020-05-16,568,8,492,4,576
2020-05-17,579,8,495,4,587
2020-05-18,593,8,497,4,601
2020-05-19,622,8,497,4,630
2020-05-20,634,8,497,4,642
2020-05-21,658,8,502,4,666
2020-05-22,682,8,510,4,690
2020-05-23,724,8,512,4,732
2020-05-24,787,8,515,4,795
2020-05-25,839,8,521,4,847
2020-05-26,888,8,532,5,896
2020-05-27,955,8,542,6,963
2020-05-28,996,8,552,7,1004
2020-05-29,1080,8,555,7,1088
2020-05-30,1142,8,565,8,1150
2020-05-31,1200,8,575,9,1208
