date,confirmedcasesindian,confirmedcasesforeign,discharged,deaths,totalConfirmed
2020-03-10,2,0,0,0,2
2020-03-11,2,0,0,0,2
2020-03-12,11,0,0,0,11
2020-03-13,14,0,0,0,14
2020-03-14,14,0,0,0,14
2020-03-15,32,0,0,0,32
2020-03-16,32,0,0,0,32
2020-03-17,36,3,0,1,39
2020-03-18,39,3,0,1,42
2020-03-19,44,3,0,1,47
2020-03-20,49,3,0,1,52
2020-03-21,60,3,0,1,63
2020-03-22,64,3,0,2,67
2020-03-23,71,3,0,2,74
2020-03-24,86,3,0,2,89
2020-03-25,125,3,1,3,128
2020-03-26,121,3,1,3,124
2020-03-27,127,3,15,4,130
2020-03-28,177,3,25,5,180
2020-03-29,183,3,25,6,186
2020-03-30,195,3,25,8,198
2020-03-31,213,3,39,9,216
2020-04-01,299,3,39,9,302
2020-04-02,332,3,42,13,335
2020-04-03,332,3,42,16,335
2020-04-04,487,3,42,24,490
2020-04-05,487,3,42,24,490
2020-04-06,745,3,56,45,748
2020-04-07,865,3,56,48,868
2020-04-08,1015,3,79,64,1018
2020-04-09,1132,3,117,72,1135
2020-04-10,1361,3,125,97,1364
2020-04-11,1571,3,188,110,1574
2020-04-12,1758,3,208,127,1761
2020-04-13,1982,3,217,149,1985
2020-04-14,2334,3,229,160,2337
2020-04-15,2684,3,259,178,2687
2020-04-16,2916,3,295,187,2919
2020-04-17,3202,3,300,194,3205
2020-04-18,3320,3,331,201,3323
2020-04-19,3648,3,365,211,3651
2020-04-20,4200,3,507,223,4203
2020-04-21,4666,3,572,232,4669
2020-04-22,5218,3,722,251,5221
2020-04-23,5649,3,789,269,5652
2020-04-24,6427,3,840,283,6430
2020-04-25,6814,3,957,301,6817
2020-04-26,7625,3,1076,323,7628
2020-04-27,8065,3,1188,342,8068
2020-04-28,8587,3,1282,369,8590
2020-04-29,9315,3,1388,400,9318
2020-04-30,9912,3,1593,432,9915
2020-05-01,10495,3,1773,459,10498
2020-05-02,11503,3,1879,485,11506
2020-05-03,12293,3,2000,521,12296
2020-05-04,12971,3,2115,548,12974
2020-05-05,14538,3,2465,583,14541
2020-05-06,15522,3,2819,617,15525
2020-05-07,16755,3,3094,651,16758
2020-05-08,17971,3,3301,694,17974
2020-05-09,19060,3,3470,731,19063
2020-05-10,20225,3,3800,779,20228
2020-05-11,22168,3,4199,832,22171
2020-05-12,23398,3,4786,868,23401
2020-05-13,24424,3,5125,921,24427
2020-05-14,25919,3,5547,975,25922
2020-05-15,27521,3,6059,1019,27524
2020-05-16,29097,3,6564,1068,29100
2020-05-17,30703,3,7088,1135,30706
2020-05-18,33050,3,7688,1198,33053
2020-05-19,35055,3,8437,1249,35058
2020-05-20,37133,3,9639,1325,37136
2020-05-21,39294,3,10318,1390,39297
2020-05-22,41639,3,11726,1454,41642
2020-05-23,44579,3,12583,1517,44582
2020-05-24,47187,3,13404,1577,47190
2020-05-25,50228,3,14600,1635,50231
2020-05-26,52664,3,15786,1695,52667
2020-05-27,54755,3,16954,1792,54758
2020-05-28,56945,3,17918,1897,56948
2020-05-29,59543,3,18616,1982,59546
2020-05-30,62225,3,26997,2098,62228
2020-05-31,65165,3,28081,2197,65168
2020-06-01,67652,3,29329,2286,67655
2020-06-02,70010,3,30108,2362,70013
2020-06-03,72297,3,31333,2465,72300
2020-06-04,74857,3,32329,2587,74860
2020-06-05,77790,3,33681,2710,77793
2020-06-06,80226,3,35156,2849,80229
2020-06-07,82965,3,37390,2969,82968
2020-06-08,85972,3,39314,3060,85975
2020-06-09,88525,3,40975,3169,88528
2020-06-10,90784,3,42638,3289,90787
2020-06-11,94038,3,44517,3438,94041
2020-06-12,97645,3,46078,3590,97648
2020-06-13,101138,3,47796,3717,101141
