date,confirmedcasesindian,confirmedcasesforeign,discharged,deaths,totalConfirmed
2020-03-18,1,0,0,0,1
2020-03-19,1,0,0,0,1
2020-03-20,1,0,0,0,1
2020-03-21,1,0,0,0,1
2020-03-22,1,0,0,0,1
2020-03-23,1,0,0,0,1
2020-03-24,1,0,0,0,1
2020-03-25,1,0,0,0,1
2020-03-26,1,0,0,0,1
2020-03-27,1,0,0,0,1
2020-03-28,1,0,0,0,1
2020-03-29,1,0,0,0,1
2020-03-30,1,0,0,0,1
2020-03-31,1,0,0,0,1
2020-04-01,3,0,1,0,3
2020-04-02,3,0,1,0,3
2020-04-03,5,0,1,0,5
2020-04-04,5,0,1,0,5
2020-04-05,5,0,1,0,5
2020-04-06,5,0,1,0,5
2020-04-07,5,0,1,0,5
2020-04-08,5,0,1,0,5
2020-04-09,5,0,1,0,5
2020-04-10,5,0,1,0,5
2020-04-11,7,0,1,0,7
2020-04-12,7,0,1,0,7
2020-04-13,7,0,1,0,7
2020-04-14,7,0,1,0,7
2020-04-15,7,0,1,0,7
2020-04-16,7,0,1,0,7
2020-04-17,7,0,1,0,7
2020-04-18,7,0,3,0,7
2020-04-19,7,0,3,0,7
2020-04-20,7,0,3,0,7
2020-04-21,7,0,3,0,7
2020-04-22,7,0,3,0,7
2020-04-23,7,0,3,0,7
2020-04-24,7,0,3,0,7
2020-04-25,7,0,3,0,7
2020-04-26,7,0,3,0,7
2020-04-27,8,0,3,0,8
2020-04-28,8,0,3,0,8
2020-04-29,8,0,3,0,8
2020-04-30,8,0,5,0,8
2020-05-01,8,0,5,0,8
2020-05-02,8,0,5,0,8
2020-05-03,8,0,5,0,8
2020-05-04,8,0,5,0,8
2020-05-05,9,0,6,0,9
2020-05-06,9,0,6,0,9
2020-05-07,9,0,6,0,9
2020-05-08,9,0,6,0,9
2020-05-09,9,0,6,0,9
2020-05-10,9,0,6,0,9
2020-05-11,9,0,6,0,9
2020-05-12,12,0,6,0,12
2020-05-13,13,0,9,1,13
2020-05-14,13,0,9,1,13
2020-05-15,13,0,9,1,13
2020-05-16,13,0,9,1,13
2020-05-17,13,0,9,1,13
2020-05-18,13,0,9,1,13
2020-05-19,18,0,9,1,18
2020-05-20,18,0,9,1,18
2020-05-21,18,0,9,0,18
2020-05-22,20,0,10,0,20
2020-05-23,26,0,10,0,26
2020-05-24,26,0,10,0,26
2020-05-25,41,0,12,0,41
2020-05-26,41,0,12,0,41
2020-05-27,46,0,12,0,46
2020-05-28,46,0,12,0,46
2020-05-29,51,0,14,0,51
2020-05-30,51,0,14,0,51
2020-05-31,51,0,14,0,51
2020-06-01,70,0,25,0,70
2020-06-02,74,0,25,0,74
2020-06-03,82,0,25,0,82
2020-06-04,82,0,25,0,82
2020-06-05,82,0,25,0,82
2020-06-06,99,0,36,0,99
2020-06-07,99,0,36,0,99
2020-06-08,99,0,36,0,99
2020-06-09,127,0,52,0,127
2020-06-10,127,0,52,0,127
2020-06-11,127,0,53,0,127
2020-06-12,157,0,67,2,157
2020-06-13,157,0,67,2,157
2020-06-14,176,0,82,2,176
2020-06-15,194,0,91,5,194
2020-06-16,202,0,95,5,202
2020-06-17,216,0,99,6,216
2020-06-18,245,0,109,7,245
2020-06-19,271,0,109,7,271
2020-06-20,286,0,118,7,286
2020-06-21,286,0,118,7,286
2020-06-22,366,0,140,8,366
2020-06-23,383,0,149,8,383
2020-06-24,402,0,165,9,402
2020-06-25,461,0,176,9,461
2020-06-26,502,0,187,9,502
2020-06-27,502,0,187,9,502
2020-06-28,619,0,221,10,619
2020-06-29,619,0,221,10,619
2020-06-30,619,0,221,10,619
2020-07-01,714,0,272,12,714
2020-07-02,714,0,272,12,714
2020-07-03,802,0,331,12,802
2020-07-04,802,0,331,12,802
2020-07-05,802,0,331,12,802
2020-07-06,802,0,331,12,802
2020-07-07,802,0,331,12,802
