date,confirmedcasesindian,confirmedcasesforeign,discharged,deaths,totalConfirmed
2020-03-10,9,0,0,0,9
2020-03-11,9,0,0,0,9
2020-03-12,10,1,0,0,11
2020-03-13,10,1,5,0,11
2020-03-14,11,1,5,0,12
2020-03-15,12,1,4,0,13
2020-03-16,12,1,4,0,13
2020-03-17,14,1,5,0,15
2020-03-18,15,1,5,0,16
2020-03-19,18,1,9,0,19
2020-03-20,22,1,9,0,23
2020-03-21,23,1,9,0,24
2020-03-22,26,1,9,0,27
2020-03-23,30,1,9,0,31
2020-03-24,32,1,11,0,33
2020-03-25,36,1,11,0,37
2020-03-26,40,1,11,0,41
2020-03-27,40,1,11,0,41
2020-03-28,54,1,11,0,55
2020-03-29,64,1,11,0,65
2020-03-30,81,1,11,0,82
2020-03-31,100,1,14,0,101
2020-04-01,102,1,14,2,103
2020-04-02,112,1,14,2,113
2020-04-03,171,1,14,2,172
2020-04-04,173,1,19,2,174
2020-04-05,226,1,19,2,227
2020-04-06,304,1,21,3,305
2020-04-07,304,1,21,3,305
2020-04-08,342,1,26,3,343
2020-04-09,409,1,31,4,410
2020-04-10,430,1,32,4,431
2020-04-11,432,1,32,4,433
2020-04-12,451,1,45,5,452
2020-04-13,482,1,47,5,483
2020-04-14,656,1,49,5,657
2020-04-15,734,1,51,11,735
2020-04-16,772,1,68,13,773
2020-04-17,845,1,74,14,846
2020-04-18,968,1,86,14,969
2020-04-19,1083,1,108,17,1084
2020-04-20,1175,1,129,17,1176
2020-04-21,1293,1,140,20,1294
2020-04-22,1411,1,165,21,1412
2020-04-23,1508,1,187,21,1509
2020-04-24,1603,1,206,24,1604
2020-04-25,1777,1,248,26,1778
2020-04-26,1842,1,289,29,1843
2020-04-27,1954,1,335,31,1955
2020-04-28,2042,1,400,31,2043
2020-04-29,2114,1,477,36,2115
2020-04-30,2202,1,513,39,2203
2020-05-01,2280,1,555,41,2281
2020-05-02,2454,1,656,43,2455
2020-05-03,2625,1,698,43,2626
2020-05-04,2741,1,758,45,2742
2020-05-05,2858,1,944,53,2859
2020-05-06,2879,1,987,56,2880
2020-05-07,2997,1,1130,60,2998
2020-05-08,3070,1,1250,62,3071
2020-05-09,3213,1,1387,66,3214
2020-05-10,3372,1,1499,74,3373
2020-05-11,3466,1,1653,74,3467
2020-05-12,3572,1,1758,80,3573
2020-05-13,3663,1,1873,82,3664
2020-05-14,3728,1,1902,83,3729
2020-05-15,3901,1,2072,88,3902
2020-05-16,4056,1,2165,95,4057
2020-05-17,4257,1,2441,104,4258
2020-05-18,4258,1,2441,104,4259
