date,confirmedcasesindian,confirmedcasesforeign,discharged,deaths,totalConfirmed
2020-03-15,1,0,0,0,1
2020-03-16,1,0,0,0,1
2020-03-17,1,0,0,0,1
2020-03-18,1,0,0,0,1
2020-03-19,1,0,0,0,1
2020-03-20,3,0,0,0,3
2020-03-21,3,0,0,0,3
2020-03-22,3,0,0,0,3
2020-03-23,3,0,0,0,3
2020-03-24,3,1,0,0,4
2020-03-25,3,1,0,0,4
2020-03-26,4,1,0,0,5
2020-03-27,4,1,0,0,5
2020-03-28,4,1,0,0,5
2020-03-29,6,1,2,0,7
2020-03-30,6,1,2,0,7
2020-03-31,6,1,2,0,7
2020-04-01,6,1,2,0,7
2020-04-02,6,1,2,0,7
2020-04-03,9,1,2,0,10
2020-04-04,15,1,2,0,16
2020-04-05,21,1,2,0,22
2020-04-06,25,1,4,0,26
2020-04-07,30,1,5,0,31
2020-04-08,30,1,5,0,31
2020-04-09,34,1,5,0,35
2020-04-10,34,1,5,0,35
2020-04-11,34,1,5,0,35
2020-04-12,34,1,5,0,35
2020-04-13,34,1,5,0,35
2020-04-14,34,1,7,0,35
2020-04-15,36,1,9,0,37
2020-04-16,36,1,9,0,37
2020-04-17,36,1,9,0,37
2020-04-18,41,1,9,0,42
2020-04-19,41,1,9,0,42
2020-04-20,43,1,11,0,44
2020-04-21,45,1,18,0,46
2020-04-22,45,1,19,0,46
2020-04-23,45,1,23,0,46
2020-04-24,46,1,24,0,47
2020-04-25,47,1,25,0,48
2020-04-26,49,1,26,0,50
2020-04-27,50,1,33,0,51
2020-04-28,50,1,33,0,51
2020-04-29,53,1,34,0,54
2020-04-30,54,1,36,0,55
2020-05-01,56,1,36,0,57
2020-05-02,57,1,37,0,58
2020-05-03,58,1,39,0,59
2020-05-04,59,1,39,1,60
2020-05-05,59,1,39,1,60
2020-05-06,60,1,39,1,61
2020-05-07,60,1,39,1,61
2020-05-08,60,1,39,1,61
2020-05-09,62,1,46,1,63
2020-05-10,66,1,46,1,67
2020-05-11,67,1,46,1,68
2020-05-12,67,1,46,1,68
2020-05-13,68,1,46,1,69
2020-05-14,71,1,46,1,72
2020-05-15,77,1,50,1,78
2020-05-16,81,1,51,1,82
2020-05-17,87,1,51,1,88
2020-05-18,91,1,52,1,92
2020-05-19,92,1,52,1,93
2020-05-20,110,1,52,1,111
2020-05-21,121,1,53,1,122
2020-05-22,145,1,54,1,146
2020-05-23,152,1,56,1,153
2020-05-24,243,1,56,2,244
2020-05-25,316,1,58,3,317
2020-05-26,348,1,58,3,349
2020-05-27,400,1,64,4,401
2020-05-28,468,1,79,4,469
2020-05-29,499,1,79,4,500
2020-05-30,715,1,102,5,716
2020-05-31,748,1,102,5,749
2020-06-01,906,1,102,5,907
2020-06-02,957,1,222,6,958
2020-06-03,1042,1,252,7,1043
2020-06-04,1084,1,282,8,1085
2020-06-05,1152,1,297,10,1153
2020-06-06,1214,1,344,11,1215
2020-06-07,1302,1,423,11,1303
2020-06-08,1354,1,528,13,1355
2020-06-09,1410,1,714,13,1411
2020-06-10,1536,1,755,13,1537
2020-06-11,1561,1,831,15,1562
2020-06-12,1642,1,842,15,1643
2020-06-13,1723,1,947,21,1724
2020-06-14,1784,1,1077,23,1785
2020-06-15,1818,1,1111,24,1819
2020-06-16,1844,1,1189,24,1845
2020-06-17,1941,1,1216,25,1942
2020-06-18,2022,1,1254,26,2023
2020-06-19,2101,1,1386,26,2102
2020-06-20,2176,1,1433,26,2177
2020-06-21,2300,1,1450,27,2301
2020-06-22,2343,1,1500,27,2344
2020-06-23,2401,1,1521,28,2402
2020-06-24,2534,1,1602,30,2535
2020-06-25,2622,1,1721,35,2623
2020-06-26,2690,1,1758,36,2691
2020-06-27,2724,1,1822,37,2725
2020-06-28,2790,1,1912,37,2791
2020-06-29,2822,1,2018,38,2823
2020-06-30,2830,1,2111,39,2831
2020-07-01,2880,1,2231,41,2881
2020-07-02,2946,1,2317,41,2947
